대표슈퍼코드,대표슈퍼명,판매처코드,판매처명
6000880,■株式会社セブンスター,1300055,旭食品株式会社松山支店
6000882,■株式会社セルフのフルセ,1300077,株式会社大物
6000883,■株式会社そごうマート,1301609,旭食品株式会社松山支店新居浜営業所
6000884,■株式会社ダイキョウ,1300077,株式会社大物
6000885,■株式会社ダイコク,1301615,旭食品株式会社中国支店
6000891,■株式会社ツカサ,1300056,旭食品株式会社首都圏支店
6000892,■株式会社ディリーヤマザキ,1303006,三菱食品株式会社ＣＶＳ本部
6000894,■株式会社トーエイ,1300033,藤徳物産株式会社福山支店
6000896,■株式会社とよはた,1300125,株式会社日本アクセス名古屋支店
6000897,■株式会社ドラッグ・アーバン,1302935,旭食品株式会社中四国支社九州中央支店
6000898,■株式会社とれとれ市場,1300006,加藤産業株式会社九州支社福岡支店
6000900,■株式会社ながやま,1301658,三井物産流通グループ株式会社九州支社広域営業室
6000902,■株式会社ナンコクスーパー,1300050,旭食品株式会社中四国支社高知支店
