판매처코드,소매처코드
1301614,6070455
1301614,6000913
1301615,6001005
1301615,6001077
1301615,6013275
1301615,6003699
1301615,6034306
1301615,6000885
1301615,6013259
1301615,6000594
1301615,6164652
1301615,6164490
1301615,6019573
1301615,6000838
1301615,6022501
1301615,6197374
1301615,6014271
1301615,6152390
1301616,6014274
1301616,6157721
1301616,6000971
1301616,6000939
1301616,6001101
1301616,6066162
1301616,6066210
1301616,6079921
1301616,6018648
1301616,6143874
1301619,6019064
1301619,6001120
1301619,6140789
1301619,6013801
1301619,6040364
1301619,6152698
1301622,6157359
1301624,6001191
1301624,6012907
1301624,6014754
1301624,6162173
1301624,6000916
1301624,6000752
1301625,6000753
1301625,6014887
1301625,6000819
1301625,6000936
1301625,6012911
1301625,6001016
1301625,6146469
1301625,6001045
1301625,6000754
1301625,6001167
1301625,6152497
1301625,6000824
1301625,6016266
1301625,6000917
1301625,6140787
1301625,6012770
1301625,6000909
1301625,6012908
1301625,6000908
1301627,6164682
1301627,6014570
1301627,6040365
1301627,6003712
1301627,6001109
1301627,6064834
1301627,6143169
1301629,6197375
1301629,6157273
1301629,6000608
1301629,6197373
1301629,6000860
1301629,6000943
1301629,6049802
1301629,6107247
1301654,6017286
1301655,6066661
1301656,6140418
1301657,6000185
1301657,6033130
1301657,6052872
1301657,6160906
1301657,6152554
1301658,6022434
1301658,6041688
1301658,6041635
1301658,6000900
1301659,6041618
1301659,6017840
1301659,6018488
1301659,6146470
1301660,6052881
1301661,6051380
1301661,6052877
1301669,6022404
1301669,6022468
1301669,6022495
1301669,6152621
1301670,6132314
1301670,6028789
1301674,6022423
1301674,6038512
1301674,6049801
1301674,6000876
1301675,6000606
1301675,6163102
1301677,6025937
1301677,6022477
1301683,6016968
1301684,6001069
1301684,6003790
1301685,6000839
1301686,6041608
1301686,6070181
1301687,6022490
1301687,6022421
1301700,6016412
1301700,6034786
1301700,6003684
1301700,6017334
1301700,6003880
1301748,6154091
1301748,6154068
1301748,6152603
1301748,6152659
1301748,6152584
1301748,6152557
1301748,6152662
1301748,6155507
1301748,6003846
1301748,6156155
1301748,6154011
1301748,6152595
1301748,6154048
1301748,6152416
1301748,6152429
1301748,6152466
1301748,6152625
1301748,6154001
1301748,6154431
1301748,6152638
1301748,6154036
1301748,6152637
1301748,6160915
1301748,6152459
1301748,6154063
1301748,6154352
1301748,6154419
1301748,6154085
1301748,6152474
1301748,6154347
1301748,6153979
1301750,6039276
1301803,6021088
1301803,6019580
1301803,6019579
1301803,6020847
1301803,6000938
1301803,6022766
1301803,6000994
1301803,6021729
1301803,6021882
1301803,6016654
1301803,6003702
1301804,6014713
1301804,6032102
1301804,6000946
1301804,6021971
1301804,6153969
1301804,6153974
1301804,6012755
1301804,6014848
1301842,6156156
1301843,6152559
1301843,6033130
1301850,6041604
1301850,6152422
1301850,6152410
1301850,6152632
1301850,6051380
1301850,6003667
1301850,6041616
1301850,6041647
1301850,6164665
1301852,6154361
1301852,6152433
1301852,6033130
1301852,6041626
1301852,6152564
1301852,6154002
1301853,6016542
1301853,6013288
1301853,6021595
1301853,6014270
1301853,6022392
1301853,6153982
1301853,6164649
1301853,6041616
1301853,6152567
1301853,6164664
1301853,6041624
1301853,6152432
1301855,6041647
1301855,6035504
1301859,6152516
1301859,6022431
1301861,6154843
1301863,6152553
1301863,6035549
1301863,6154058
1301863,6154026
1301863,6152533
1301863,6154053
1301863,6053554
1301870,6022403
1301870,6084159
1301894,6017839
1301894,6152521
1301908,6003793
1301908,6035507
1301908,6000525
1301916,6148219
1301951,6003901
1301951,6162310
1301951,6003904
1301951,6022884
1301951,6016298
1301951,6000829
1301951,6021767
1301994,6164674
1301994,6047923
1301994,6152528
1301994,6055838
1301994,6022492
1301995,6160924
1301995,6052284
1302002,6022466
1302002,6152681
1302002,6107245
1302019,6016386
1302019,6012888
1302019,6000614
1302020,6164660
1302020,6164668
1302024,6013894
1302024,6047584
1302024,6041251
1302036,6019774
1302036,6154102
1302036,6164644
1302036,6154340
1302036,6140421
1302036,6152604
1302036,6153999
1302036,6001151
1302036,6000766
1302038,6056390
1302104,6003832
1302651,6152417
1302651,6070464
1302651,6003802
1302651,6003807
1302651,6152574
1302651,6033130
1302651,6152440
1302651,6022398
1302651,6030584
1302651,6154399
1302651,6154006
1302651,6154007
1302651,6022476
1302651,6196411
1302651,6154826
1302651,6014283
1302651,6154380
1302675,6047988
1302814,6014152
1302814,6049620
1302814,6047927
1302814,6064973
1302814,6019182
1302822,6154838
1302822,6154837
1302822,6003681
1302822,6164485
1302822,6164502
1302826,6164488
1302826,6154835
1302826,6154836
1302828,6154834
1302935,6013253
1302935,6000897
1302935,6013517
1302935,6014315
1302935,6003729
1302935,6163817
1302935,6055581
1302935,6122429
1302952,6152420
1302952,6017335
1302952,6160900
1302952,6154435
1302952,6152646
1302952,6003696
1302952,6152640
1302952,6055638
1302952,6025944
1302952,6032100
1302952,6017834
1302952,6033130
1302952,6152538
1302957,6001143
1302957,6152493
1302957,6152465
1302957,6152607
1302957,6153970
1302957,6153994
1302957,6152616
1302957,6159089
1302957,6154071
1302957,6153965
1302957,6152602
1302957,6152694
1302957,6013963
1302957,6022467
1302957,6164662
1302957,6154030
1302959,6070901
1302959,6154844
1302971,6003788
1302976,6003788
1302995,6003727
1302995,6003743
1302995,6003746
1302995,6003786
1302995,6003854
1302995,6003792
1303000,6051366
1303000,6051377
1303000,6051378
1303006,6022429
1303006,6040565
1303006,6000892
1303006,6020609
1303006,6014888
1303006,6065197
1303006,6001059
1303006,6052880
1303013,6055357
1303013,6152496
1303013,6051375
1303013,6051363
1303013,6051364
1303013,6152696
1303013,6051372
1303013,6051373
1303013,6152461
1303013,6152671
1303013,6152403
1303013,6052876
1303013,6152385
1303013,6052874
1303013,6051368
1303013,6000987
1303015,6056563
1303017,6035526
1303023,6156156
1303023,6035532
1303023,6033130
1303023,6070910
1303045,6152481
1303045,6152529
1303045,6154374
1303045,6152630
1303065,6003871
1303184,6012910
1303187,6016108
1303187,6034925
1303187,6127230
1303188,6022444
1303189,6013255
1303189,6160909
1303189,6019184
1303189,6000884
1303189,6000958
1303189,6003741
1303189,6152549
1303189,6016732
1303189,6152483
1303189,6153995
1303189,6152412
1303189,6018940
1303189,6000967
1303189,6154393
1303189,6144989
1303189,6003755
1303189,6154387
1303189,6152673
1303189,6000875
1303189,6001078
1303189,6152644
1303269,6133540
1303283,6052622
1303283,6000815
1303283,6150704
1303283,6122431
1303297,6014714
1303297,6140419
1303384,6153381
1303503,6152519
1303560,6152428
1303567,6003788
1303568,6003788
1303569,6003788
1303570,6003788
1303571,6003788
1303572,6003788
1303648,6053958
1303648,6038189
1303648,6164635
1303648,6164648
1303648,6140209
1303714,6164500
1303714,6150529
1303714,6003868
1303714,6035545
1303714,6035522
1303714,6022433
1303714,6144991
1303838,6152583
1303929,6152546
1303929,6152488
1303929,6152623
1303929,6154358
1304029,6154842
1304054,6143875
1304148,6164484
1304216,6152591
1304730,6034926
1304968,6152526
1304968,6033130
1304968,6154105
1304968,6022457
1304968,6000958
1305013,6003821
1305013,6012758
1305013,6152397
1305013,6164669
1305013,6156374
1305013,6020901
1305013,6003791
1305013,6000812
1305013,6164666
1305013,6000765
1305013,6062955
1305013,6013550
1305013,6055836
1305013,6001130
1305013,6200820
1305030,6003824
1305046,6017899
1305046,6054926
1305046,6028797
1305046,6050906
1305046,6051361
1305046,6051365
1305046,6022462
1305046,6051370
1305075,6017834
1305226,6065842
1305405,6152444
1305572,6012887
1305584,6160901
1305584,6152663
1305584,6017834
1305584,6154434
1305584,6003753
1305584,6000892
1305862,6069434
1305984,6084157
1305991,6152569
1306045,6121591
1306081,6022427
1306129,6017834
1306129,6056005
1306147,6196161
1306257,6154049
1306336,6151804
1306524,6154010
1306554,6164642
1306578,6152657
1306613,6014283
1306704,6154833
1306704,6164676
1306711,6033130
1306711,6022394
1306848,6000958
1306919,6152657
1306922,6164633
1306940,6162172
1306983,6152657
1307123,6033130
1307130,6022394
1307133,6201750
1307139,6033130
1307140,6033130
1307143,6033130
1307148,6033130
6050907,6050907
6154869,6197379
