소매처코드,소매처명
6000816,アスティ
6000816,加藤産業株式会社中四国支社広島支店
6000818,いさみ屋
6000819,イマムラ
6000822,エイヴイ
6000823,エースワン
6000824,エムジー
6000824,ＴＨＤ関西株式会社エムジー
6000827,国分関信越株式会社茨城支社
6000827,カスミ
6000829,かとりストアー
6000829,加藤産業株式会社九州支社長崎支店
6000831,カメガヤ
6000833,きくや酒店
6000836,スーパーキタムラ
6000836,キタムラ
6000838,きむら
6000838,加藤産業株式会社中四国支社四国支店
6000838,加藤産業株式会社中四国支社岡山支店
6000839,キョーエイ
6000839,三菱食品中四国支社四国支店営業ユニット
6000842,三菱食品株式会社中部支社営業部
6000842,加藤産業株式会社中部支社名古屋支店
6000842,キンブル
6000842,国分中部株式会社伊勢支店
6000845,ケイポートドラッグマート
6000846,ココスナカムラ
6000847,ころくや
6000851,サカイヤ
6000853,有限会社かまだ
6000854,国分北海道株式会社
6000854,サンアイ
6000856,サンシャインチェーン本部
6000856,ＴＨＤ四国株サンシャインチェーン
6000860,サンマートサカイ
6000862,ジェイエイ越智今治
6000863,シュフカワカミ
6000870,スーパーキタムラ
6000872,スエヒロコーポレーション
6000875,ストックスーパーサンコー
6000876,加藤産業株式会社中四国支社広島支店
6000876,スパーク
6000876,三菱食品株式会社中四国支社加食営業部
6000878,ぜにや
6000879,セブン
6000880,セブンスター
6000882,セルフのフルセ
6000883,そごうマート
6000883,ＴＨＤ四国株式会社そごうマート
6000884,ダイキョウ
6000885,加藤産業株式会社九州支社福岡支店
6000885,加藤産業株式会社中四国支社四国支店
6000885,加藤産業株式会社南関東支社湘南支店
6000885,加藤産業株式会社東北支社仙台支店
6000885,ダイコク
6000885,加藤産業株式会社北海道支社札幌支店
6000891,ツカサ
6000892,デイリーヤマザキ
6000892,三菱食品株式会社九州支社営業ＡＢＣ
6000892,ディリーヤマザキ
6000892,三菱食品株式会社ＣＶＳ本部関西
6000892,三菱食品株式会社ＣＶＳ本部
6000892,三菱食品株式会社ＣＶＳ本部東北
6000894,トーエイ
6000894,藤徳物産株式会社福山支店
6000896,とよはた
6000897,ドラッグ・アーバン
6000898,国分西日本株式会社岡山支店
6000898,加藤産業株式会社九州支社福岡支店
6000898,とれとれ市場
6000900,三井食品株式会社九州支社広域営業室
6000900,加藤産業株式会社九州支社宮崎営業所
6000900,ながやま
6000902,ナンコクスーパー
6000906,ノムラストアー
6000907,ツルハグループドラッグ＆ファーマシー西日本
6000908,ハートフレンド
6000909,ハズイ食料品店
6000913,パルパ
6000915,ヒーロー（茨城）
6000915,ヒーロー＜茨城＞
6000916,加藤産業株式会社南近畿支社阪和支店
6000916,ヒダカヤ
6000917,ビッグ．ナラ
6000917,ビッグナラ
6000935,マルサン＜埼玉＞
6000935,マルサンシステム
6000936,マルシゲ
6000938,マルナカ（香川）
6000938,国分西日本株式会社近畿支社
6000939,マルワ渡辺水産
6000943,ヤオキスーパー
6000944,ヤオミ
6000944,三菱食品株式会社中部支社営業部
6000946,加藤産業株式会社南近畿支社阪南支店
6000946,ヤマタ
6000948,ユアーズ
